HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;HandLeft.X;HandLeft.Y;HandLeft.Z;ElbowLeft.X;ElbowLeft.Y;ElbowLeft.Z;
-0.0938075;-0.3463131;3.281384;0.09788528;-0.3237297;3.543192;-0.08874222;-0.4268458;3.536155;-0.1965915;-0.3685423;3.329166;-0.2999117;-0.3196148;3.55542;
-0.04102042;-0.3588164;3.336106;0.0973726;-0.3231302;3.543371;-0.0888202;-0.4267771;3.536219;-0.1964296;-0.3682238;3.329165;-0.2997868;-0.3195438;3.555248;
-0.04032695;-0.3589244;3.335263;0.09685133;-0.322974;3.543003;-0.08880981;-0.4268127;3.535824;-0.1961372;-0.3690815;3.329321;-0.2979222;-0.3209646;3.552784;
-0.04047842;-0.3623357;3.317827;0.09642315;-0.3223417;3.543578;-0.08976818;-0.4264908;3.535648;-0.1961844;-0.3693075;3.328911;-0.2985699;-0.3198704;3.554245;
-0.04027775;-0.3622584;3.317896;0.09606038;-0.3221994;3.542309;-0.08982089;-0.4265872;3.535524;-0.2037583;-0.3656332;3.351738;-0.3028336;-0.3220885;3.559522;
-0.03925377;-0.3616918;3.321303;0.09647953;-0.3239766;3.542941;-0.0898324;-0.4266897;3.535697;-0.1971669;-0.3682939;3.328742;-0.3035209;-0.3235385;3.558007;
-0.03845543;-0.3618668;3.331866;0.09708319;-0.3249562;3.544747;-0.08993076;-0.4268352;3.535913;-0.1958576;-0.3671089;3.326348;-0.3024773;-0.323472;3.556768;
-0.049154;-0.3798356;3.30283;0.09548754;-0.3220794;3.543375;-0.08962271;-0.4267384;3.535929;-0.1958969;-0.3676318;3.32484;-0.3026676;-0.3233331;3.556966;
-0.0342517;-0.360221;3.341148;0.09630412;-0.3232135;3.544341;-0.08939315;-0.4262145;3.5362;-0.2103221;-0.3725209;3.351773;-0.3028252;-0.3222516;3.556996;
-0.03565233;-0.3603155;3.342286;0.09631476;-0.323238;3.544362;-0.08957207;-0.4257267;3.536753;-0.2072243;-0.3711293;3.347461;-0.3028488;-0.3226347;3.556897;
-0.03767318;-0.3607996;3.34197;0.09628338;-0.3244601;3.542975;-0.08975481;-0.4262008;3.536963;-0.201383;-0.3721653;3.343961;-0.3016233;-0.320505;3.5588;
-0.0312116;-0.3968553;3.318597;0.09626733;-0.3248793;3.543499;-0.08977169;-0.4261571;3.536969;-0.1995725;-0.3731346;3.340511;-0.3020433;-0.3215413;3.559028;
