HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;Head.X;Head.Y;Head.Z;
0.1935377;-0.03940011;3.658414;-0.01066107;-0.347882;3.658891;-0.1358309;0.1926457;3.788963;
0.1415605;-0.007368892;3.690642;-0.01824363;-0.3397757;3.665498;-0.1382273;0.1968031;3.788156;
0.04002551;-0.04002552;3.722493;-0.0208369;-0.3434171;3.663943;-0.1392373;0.1963696;3.78787;
0.2199933;0.02368441;3.727307;-0.01425292;-0.3453733;3.664843;-0.1485786;0.1940465;3.789067;
0.2202163;0.02643396;3.719581;-0.01153231;-0.3477969;3.665631;-0.1489304;0.1938565;3.789063;
0.2208517;0.02871613;3.717277;-0.01134393;-0.3474652;3.665843;-0.1464567;0.1946957;3.790936;
0.09301564;-0.01794232;3.699263;-0.02199208;-0.3391125;3.670337;-0.1488732;0.1934226;3.787877;
0.02776191;-0.02115849;3.725538;-0.02362533;-0.3370128;3.670467;-0.1456666;0.1952167;3.786071;
0.03403382;-0.005289519;3.725538;-0.02118683;-0.3277858;3.670079;-0.1457036;0.1967875;3.784911;
0.08558446;0.06488496;3.705494;-0.009004699;-0.3056413;3.660375;-0.147502;0.1965354;3.776473;
0.1291434;0.0485307;3.647573;-0.01121178;-0.3005291;3.659557;-0.1485225;0.196823;3.783468;
0.08855946;0.04279736;3.657684;-0.02089896;-0.2925249;3.661438;-0.1431937;0.1946982;3.782589;
0.09525419;0.3356217;3.616663;0.1079378;0.08655568;3.640809;-0.1433712;0.191187;3.785975;
0.02709698;0.3625644;3.594837;0.09536839;0.1205163;3.63859;-0.1364063;0.1878254;3.777722;
0.03311458;0.388126;3.616828;0.09643071;0.1205362;3.636841;-0.1371733;0.1889859;3.773679;
0.03491667;0.3891446;3.605458;0.08680899;0.1188257;3.635978;-0.0900145;0.2290327;3.75891;
-0.06829604;0.3284339;3.603801;0.08410376;0.1158157;3.637013;-0.04846975;0.2132379;3.725905;
-0.06649066;0.327915;3.600563;0.08264545;0.1120683;3.6329;-0.05329289;0.212808;3.722626;
-0.1000122;0.2828673;3.619187;0.08344915;0.1093954;3.632185;-0.08236052;0.2203644;3.72104;
-0.09609108;0.3059581;3.605824;0.07193001;0.1109778;3.634651;-0.08188568;0.2111869;3.713238;
-0.1015548;0.2963207;3.582741;0.07049602;0.11065;3.633061;-0.09249215;0.2120779;3.710428;
-0.1033272;0.294935;3.582212;0.07142855;0.1132279;3.631831;-0.09135064;0.214944;3.708954;
-0.08259107;0.3819159;3.521015;0.01298998;0.1478543;3.623166;-0.09397973;0.2126402;3.710112;
-0.07646999;0.3685476;3.520005;0.01910866;0.1345221;3.622146;-0.09233084;0.2148731;3.709797;
-0.06284179;0.3353576;3.571434;0.07883842;0.1176705;3.627439;-0.06571889;0.2162485;3.713255;
-0.04564663;0.3492058;3.631522;0.08104903;0.1161022;3.628793;-0.07882877;0.2395752;3.751961;
-0.0321658;0.3534278;3.634229;0.08473551;0.1138849;3.630068;-0.1326795;0.1970476;3.774553;
0.01668105;0.3760938;3.6429;0.08985312;0.1116621;3.631403;-0.1282251;0.1970124;3.776052;
0.02827713;0.3687092;3.63769;0.1013242;0.1044102;3.639359;-0.1416657;0.1805488;3.798681;
0.05093905;0.368241;3.65249;0.1095452;0.1011188;3.644406;-0.14494;0.1852841;3.806196;
0.08016706;0.3600046;3.647717;0.1284846;0.08953338;3.659752;-0.1522103;0.1910384;3.796855;
0.1713527;0.3652795;3.669063;0.1293318;0.08293038;3.662791;-0.1504232;0.1915212;3.793847;
0.2108502;0.2798828;3.683313;0.1622857;0.04160509;3.643669;-0.1508377;0.1927459;3.78516;
0.2361352;0.2697469;3.688034;0.1568764;0.0109349;3.655708;-0.1532309;0.1963577;3.788257;
0.2417346;0.2159232;3.765431;0.1596633;0.006330036;3.655735;-0.1646799;0.1998989;3.78931;
0.240839;0.2142783;3.766493;0.1586386;0.002343342;3.657513;-0.1653868;0.1996624;3.788823;
0.2413662;0.1991262;3.76199;0.1618628;-0.01750062;3.65189;-0.1727222;0.1976045;3.78395;
0.3359435;0.1770488;3.741566;0.161632;-0.02835201;3.649251;-0.1892285;0.1979012;3.780864;
0.3066148;0.1956007;3.79793;0.1657793;-0.03516446;3.651706;-0.1881194;0.1990331;3.779363;
0.2876348;0.193804;3.769237;0.1649319;-0.03540267;3.651223;-0.190739;0.1919746;3.780896;
0.2844757;0.2041671;3.761266;0.156677;-0.02657466;3.65427;-0.1900169;0.1969878;3.780669;
0.227472;0.2006955;3.641283;0.1559944;-0.02419603;3.653517;-0.1891733;0.1988959;3.779851;
0.2452276;0.2899033;3.751962;0.1651883;0.03139928;3.657292;-0.1908447;0.1980933;3.770348;
0.2035395;0.3044598;3.667926;0.1660184;0.03259178;3.656615;-0.1899216;0.2001247;3.774931;
0.1930725;0.3056158;3.66964;0.164074;0.03349525;3.65073;-0.1885679;0.2004929;3.77477;
0.1491417;0.3102323;3.631574;0.1375774;0.02446558;3.656954;-0.1857883;0.1978175;3.777866;
0.1045437;0.3276465;3.647445;0.133724;0.0354104;3.65088;-0.1823338;0.1965454;3.774696;
0.07344235;0.3657207;3.633735;0.129079;0.07485265;3.64714;-0.1789272;0.1953525;3.769185;
0.07899026;0.2347094;3.633035;0.1261971;0.07668715;3.647986;-0.1802786;0.1936808;3.769215;
0.05024467;0.2386018;3.603285;0.1233387;0.0760568;3.647493;-0.1734648;0.1917343;3.774973;
0.04744208;0.2355468;3.598203;0.1276774;0.09806985;3.640942;-0.1585721;0.2057135;3.773739;
-0.07390258;0.3161617;3.545872;0.09869125;0.1162469;3.634652;-0.1519675;0.2274118;3.750597;
-0.1115976;0.3216647;3.542703;0.0777301;0.1351282;3.619159;-0.1572835;0.2266469;3.742584;
-0.1256413;0.2905743;3.51814;0.07944632;0.1360381;3.6166;-0.1541353;0.2183359;3.715554;
-0.1489532;0.2527959;3.525973;0.07690118;0.1368224;3.614956;-0.15408;0.2177117;3.715053;
-0.1408259;0.2530112;3.529694;0.08144756;0.1175368;3.602171;-0.1536551;0.2161555;3.715737;
-0.1616304;0.2620183;3.522491;0.06729701;0.1343806;3.571517;-0.1541513;0.2158499;3.713802;
-0.1163157;0.2890803;3.536357;0.0801992;0.1055641;3.587745;-0.1505509;0.2144442;3.72259;
-0.09565669;0.3028941;3.536087;0.07519692;0.09410587;3.598443;-0.1270809;0.2342901;3.70818;
-0.06794904;0.2943078;3.540225;0.09580169;0.08061782;3.608047;-0.1504633;0.1942488;3.789788;
0.01696219;0.3272067;3.519224;0.09846879;0.07600524;3.608711;-0.1491466;0.1945621;3.785653;
0.05636008;0.2309622;3.572494;0.1001177;0.07453974;3.610035;-0.1497276;0.1951211;3.787452;
0.06679659;0.2254677;3.574157;0.1033943;0.07342171;3.61308;-0.1504069;0.1944793;3.785463;
0.09024846;0.2458884;3.604844;0.1156164;0.06723288;3.624126;-0.1513092;0.1949139;3.784121;
0.1606705;0.367745;3.615094;0.124042;0.08407615;3.6307;-0.1529825;0.1937877;3.782072;
0.1374819;0.3273763;3.6204;0.1586176;0.04222862;3.643629;-0.1533209;0.1940261;3.781864;
0.2188083;0.3045357;3.65188;0.1587723;0.03896868;3.643032;-0.1519069;0.1945387;3.781037;
0.2316875;0.2746293;3.668919;0.1610261;0.01145858;3.647388;-0.1520579;0.1939024;3.782651;
0.2752573;0.2523296;3.681311;0.1609801;0.00860627;3.645627;-0.1526873;0.1965663;3.786592;
0.2825122;0.2418259;3.684501;0.1618276;0.002398074;3.646015;-0.1520008;0.1971087;3.786785;
0.3156239;0.2284662;3.682034;0.1676481;-0.01093105;3.645703;-0.1524528;0.1971389;3.787578;
0.3857566;0.1626274;3.661945;0.177578;-0.0309626;3.645768;-0.1524553;0.1986775;3.788481;
0.3392297;0.1811591;3.676942;0.1815311;-0.05187364;3.640818;-0.1511173;0.2000024;3.789495;
0.3449771;0.179394;3.670056;0.1814409;-0.05164677;3.644807;-0.1513769;0.2000144;3.790485;
0.3327088;0.1869854;3.704955;0.1803214;-0.04648183;3.643198;-0.1506916;0.1999129;3.789418;
0.3251468;0.1973596;3.714093;0.1765002;-0.03122485;3.642695;-0.1523144;0.1989338;3.791945;
0.2817515;0.2331561;3.668272;0.1738812;-0.02826518;3.641541;-0.1539033;0.2018884;3.797773;
0.2838167;0.2387765;3.670347;0.1680353;-0.01803292;3.636667;-0.1600123;0.20375;3.808564;
0.2438077;0.2688372;3.661992;0.1645953;-0.003462903;3.641364;-0.1575999;0.1954907;3.801731;
0.2099749;0.3278961;3.629264;0.1597479;0.04662377;3.646955;-0.1560816;0.1952295;3.800048;
0.1642991;0.3312222;3.625453;0.1519628;0.04574462;3.642084;-0.1547604;0.1947327;3.798424;
0.1022424;0.373524;3.632047;0.1378928;0.09028237;3.632055;-0.1547842;0.1943053;3.798869;
0.04258459;0.3522549;3.590291;0.1320576;0.08176638;3.627931;-0.1543322;0.1932161;3.797597;
0.05153619;0.3355295;3.620357;0.1185766;0.07362246;3.627225;-0.14667;0.1980502;3.793365;
0.01671435;0.3367184;3.613701;0.120936;0.0853067;3.61922;-0.1413544;0.1995598;3.796479;
0.01493709;0.3422369;3.598709;0.1027292;0.08418129;3.622595;-0.1113804;0.2121486;3.789644;
-0.007251266;0.3375356;3.535918;0.08914682;0.09281244;3.616875;-0.09377687;0.2542374;3.754621;
-0.04463751;0.3486544;3.546594;0.08957444;0.1147604;3.600929;-0.1012192;0.2448476;3.748289;
-0.1410111;0.3088818;3.576287;0.05428268;0.1263428;3.578911;-0.1100089;0.231812;3.737479;
-0.126045;0.297072;3.565183;0.06589552;0.1107212;3.588609;-0.1237742;0.2137871;3.6824;
-0.1379015;0.3051622;3.575874;0.05364338;0.1189888;3.56531;-0.1193274;0.1992826;3.682653;
-0.1138933;0.290568;3.563641;0.06794813;0.09138551;3.57639;-0.1177644;0.2026822;3.681158;
-0.1512752;0.307765;3.576633;0.04479592;0.1276131;3.567437;-0.1176255;0.2033614;3.68164;
-0.08342108;0.317745;3.557757;0.07094412;0.09350781;3.582393;-0.1127952;0.212753;3.692758;
-0.09117645;0.3179602;3.537781;0.07662624;0.08966244;3.586306;-0.1176773;0.1993092;3.785205;
0.03892778;0.2294698;3.563709;0.09417509;0.06839951;3.598683;-0.1233776;0.1916178;3.808316;
0.04311213;0.239187;3.586557;0.1032509;0.07872713;3.590537;-0.1229079;0.1943073;3.80776;
0.05478391;0.232543;3.589242;0.1095231;0.07628068;3.591963;-0.1230861;0.1932479;3.807953;
0.07772025;0.2203566;3.599527;0.1125042;0.07897631;3.603653;-0.127721;0.193047;3.805038;
0.1214782;0.3611524;3.624452;0.1147521;0.07731582;3.612859;-0.1294586;0.1930226;3.801316;
0.07866798;0.3487253;3.69334;0.1429733;0.08372518;3.624078;-0.1304617;0.1945686;3.801131;
0.1888332;0.3539374;3.658426;0.1470347;0.08684048;3.626464;-0.1319956;0.1951871;3.796166;
0.294653;0.3062672;3.686682;0.1519502;0.08821102;3.624248;-0.1324182;0.2002117;3.797363;
0.2846454;0.2355874;3.705148;0.1584531;0.01269565;3.626375;-0.1320001;0.2030702;3.802886;
0.3257369;0.2087096;3.676668;0.1593969;0.009119174;3.62174;-0.1336203;0.203068;3.80242;
0.326278;0.1957464;3.660732;0.1573752;-0.007952755;3.62874;-0.1360324;0.2023165;3.799513;
0.3362003;0.1787222;3.653412;0.1579276;-0.01560065;3.626178;-0.1383157;0.1997276;3.797048;
0.3253113;0.2125324;3.682119;0.1594689;-0.02253176;3.6258;-0.1394801;0.1998319;3.797869;
0.2935194;0.2008678;3.683563;0.1610297;-0.02645913;3.626561;-0.1409288;0.2033316;3.794844;
0.2812095;0.2210804;3.650467;0.1614477;-0.02148523;3.627567;-0.1416719;0.2022085;3.796289;
0.2712516;0.2249338;3.666067;0.1584703;-0.01816846;3.624632;-0.1404796;0.2027364;3.802824;
0.2610702;0.2475524;3.669106;0.1621527;-0.0006983639;3.621784;-0.1385051;0.2043953;3.804994;
0.2435178;0.2566798;3.660427;0.1594211;0.001159484;3.620472;-0.1383278;0.2019358;3.804501;
0.2086979;0.3765261;3.621707;0.1666872;0.117243;3.646224;-0.1341553;0.2004025;3.799965;
0.04494975;0.3380253;3.617448;0.1463365;0.07145964;3.620055;-0.1317586;0.1961105;3.798835;
0.1113413;0.3632704;3.59817;0.1236542;0.06861274;3.624731;-0.1338446;0.1967284;3.79579;
0.06218874;0.3559065;3.623925;0.1186478;0.07734366;3.612671;-0.1235452;0.1973482;3.790663;
0.07714242;0.2483252;3.625869;0.1308772;0.04553182;3.592063;-0.1188099;0.1986434;3.799505;
0.05311321;0.2495855;3.616349;0.1275262;0.05183258;3.59041;-0.1161871;0.1984394;3.805333;
-0.03228968;0.2950189;3.612318;0.07768584;0.0671417;3.621267;-0.1106496;0.1949295;3.795174;
-0.06167205;0.2722595;3.577338;0.1194142;0.05240878;3.596372;-0.1060146;0.1980491;3.789018;
-0.03653438;0.2330813;3.597285;0.1080724;0.05518299;3.589812;-0.08758596;0.2086622;3.705508;
-0.1333215;0.2915368;3.567695;0.05845238;0.08154008;3.591596;-0.08767488;0.1941486;3.689085;
-0.1436426;0.278132;3.54248;0.05643975;0.07904709;3.592723;-0.09124941;0.1911881;3.687134;
-0.2573154;0.008429203;3.542644;-0.004863039;0.1374643;3.580634;-0.0982632;0.1868708;3.678346;
-0.1601987;0.2819427;3.58049;-0.002448174;0.1300655;3.584141;-0.09625277;0.1866964;3.677652;
-0.1907412;0.2462319;3.588924;0.05578385;0.1084867;3.569272;-0.09727189;0.185936;3.673485;
-0.182668;0.2573568;3.576905;0.05249429;0.09830584;3.575151;-0.09792033;0.1829822;3.67459;
-0.1801025;0.2566147;3.579634;0.05683795;0.1004512;3.576603;-0.08957028;0.191739;3.683179;
-0.1565434;0.2684626;3.585485;0.06997085;0.0975789;3.583303;-0.1041906;0.2112172;3.71018;
-0.02689531;0.2942271;3.601583;0.07205416;0.09836613;3.586046;-0.09561667;0.2176163;3.72533;
-0.09566102;0.3347219;3.62247;0.066799;0.1063987;3.590754;-0.08831951;0.222062;3.775257;
0.03042058;0.2412361;3.580317;0.07153402;0.0687573;3.609519;-0.1097455;0.2062373;3.785349;
0.01282173;0.3273576;3.603142;0.0984222;0.05737023;3.601813;-0.1236387;0.203126;3.802272;
0.05437889;0.3292472;3.627299;0.08722512;0.06317054;3.617839;-0.1254311;0.1994698;3.804841;
0.07946958;0.3387821;3.597147;0.08346126;0.05550099;3.620227;-0.1276631;0.1973606;3.803717;
0.08778081;0.373068;3.613897;0.1063024;0.08434212;3.607466;-0.1404266;0.1935564;3.790936;
0.1677554;0.347259;3.673435;0.1066839;0.08260242;3.606046;-0.1429617;0.1925773;3.788815;
0.03010562;0.325055;3.647913;0.1433235;0.06973785;3.614114;-0.1432884;0.194633;3.788819;
0.1902474;0.2961748;3.743502;0.1519672;0.06883109;3.623837;-0.1430955;0.1957983;3.788702;
0.3023673;0.2835494;3.669411;0.1540082;0.06415868;3.628634;-0.1467437;0.1911001;3.784985;
0.2697282;0.2467968;3.683281;0.1539347;-0.0008774476;3.623983;-0.1554244;0.1960137;3.786774;
0.3294384;0.2056997;3.64979;0.1507381;-0.01002384;3.622666;-0.1599175;0.1981252;3.78906;
0.3296296;0.2012091;3.62086;0.1477557;-0.01565867;3.625864;-0.1611406;0.1971113;3.789148;
0.2943333;0.2250344;3.615023;0.1465741;-0.01656833;3.625128;-0.1584164;0.2001703;3.791196;
0.2234011;0.2528006;3.650136;0.1465041;-0.01696333;3.624673;-0.1520528;0.1987892;3.789114;
0.2292063;0.3060572;3.676564;0.1506876;0.04220157;3.623376;-0.1524246;0.1975645;3.789903;
0.2016158;0.2719399;3.632085;0.1160332;0.002974767;3.621572;-0.1514446;0.1988362;3.790742;
0.161589;0.294314;3.616345;0.1167694;0.01477566;3.621014;-0.1514959;0.1988815;3.790722;
0.09965405;0.3053623;3.605708;0.1143271;0.01529949;3.616374;-0.1525663;0.1985124;3.790719;
0.0865991;0.3448958;3.639908;0.09353093;0.06660803;3.601697;-0.1526337;0.1971573;3.791556;
0.06729139;0.3082284;3.627852;0.09898271;0.04062652;3.61685;-0.1496225;0.195886;3.793582;
0.06088232;0.2518965;3.627712;0.1076462;0.0409021;3.601333;-0.143828;0.193924;3.80103;
0.04073473;0.206958;3.597248;0.1007529;0.04061734;3.600863;-0.133138;0.1975782;3.786413;
-0.01857069;0.2356166;3.592452;0.07925657;0.04512051;3.606741;-0.1082074;0.2164373;3.74515;
-0.06212734;0.2379229;3.59997;0.06365713;0.06229632;3.616713;-0.1089246;0.2130666;3.732561;
-0.1186113;0.2559013;3.594452;0.04462977;0.07150018;3.611349;-0.1192999;0.2189919;3.719153;
-0.1388768;0.2626433;3.59702;0.05578146;0.1144343;3.573362;-0.1360216;0.2081676;3.674087;
-0.1474648;0.2260797;3.627603;0.05829253;0.1065964;3.583731;-0.1266643;0.2082657;3.684083;
-0.1691029;0.2376787;3.64207;0.03538584;0.1257624;3.60159;-0.1330667;0.2043162;3.681475;
-0.1489503;0.2257318;3.631364;0.09196079;0.09007496;3.574866;-0.142314;0.2112698;3.682048;
-0.1290296;0.2589779;3.589373;0.07505083;0.0816271;3.583708;-0.1299777;0.2313163;3.704736;
-0.1348793;0.2942395;3.570075;0.04303758;0.1028791;3.5791;-0.1185366;0.2337029;3.699505;
-0.1381398;0.2846386;3.616706;0.04394238;0.1012961;3.577369;-0.1074303;0.2318724;3.71465;
-0.1334716;0.2836818;3.62085;0.0444262;0.08609462;3.591593;-0.1043488;0.2343519;3.732841;
-0.008079458;0.3085466;3.549148;0.1046691;0.0553764;3.615305;-0.09425812;0.2166784;3.752941;
0.02385726;0.3118756;3.616618;0.1049553;0.05445541;3.611031;-0.1209747;0.1983558;3.780064;
0.05020071;0.2490146;3.616108;0.1078133;0.05661912;3.605991;-0.1216614;0.1993762;3.778359;
0.07761672;0.3422146;3.636831;0.0898276;0.07623431;3.602842;-0.1343424;0.192964;3.776507;
0.1343197;0.3167791;3.63678;0.1131518;0.03196675;3.606926;-0.1407845;0.1943308;3.773604;
0.1524293;0.3261952;3.619015;0.1162689;0.04169777;3.608572;-0.1418658;0.1936282;3.773469;
0.2393122;0.2956297;3.710342;0.1343509;0.05754433;3.593787;-0.1416774;0.1945062;3.772677;
0.2613113;0.2929615;3.691182;0.1438496;0.04552346;3.606747;-0.1464879;0.193632;3.758947;
0.2789994;0.2238341;3.686992;0.1547344;0.01032775;3.603452;-0.150537;0.1942558;3.766336;
