HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;
0.1358702;-0.09894291;2.66587;0.0154492;-0.3706159;3.226835;0.1463936;-0.06261864;2.982283;
0.1349033;-0.1017322;2.666911;0.01559783;-0.3703711;3.226787;0.1461925;-0.06382284;2.982619;
0.1349064;-0.1015455;2.666838;0.01569003;-0.3703753;3.226807;0.1460954;-0.06388514;2.982138;
0.1344774;-0.1026704;2.665919;0.01532402;-0.3704664;3.226977;0.1531473;-0.1904628;3.085685;
0.1341288;-0.1014838;2.665206;0.01588254;-0.3704387;3.227064;0.1568469;-0.2016834;3.081847;
0.1342455;-0.1021616;2.665609;0.016121;-0.3703284;3.22704;0.1460291;-0.06396489;2.982346;
0.1371895;-0.108887;2.67812;0.01651358;-0.3702387;3.226914;0.1477049;-0.06763072;2.98255;
0.1362478;-0.1076397;2.676334;0.01678333;-0.370011;3.226844;0.1479602;-0.06709296;2.982347;
0.135112;-0.1083048;2.673272;0.01686533;-0.3699693;3.226743;0.1580012;-0.195978;3.085003;
0.1344448;-0.1060618;2.670453;0.0163842;-0.370018;3.226957;0.1474272;-0.06606778;2.98168;
0.1336009;-0.1022208;2.665453;0.01716862;-0.3696484;3.226834;0.1563291;-0.190649;3.085102;
0.132869;-0.1046011;2.666226;0.01693603;-0.3696807;3.226769;0.1564894;-0.1968205;3.082607;
0.1367299;-0.1099818;2.681861;0.01690837;-0.3696947;3.226822;0.1569513;-0.1999563;3.08272;
0.1350712;-0.1044603;2.671048;0.0166265;-0.3693759;3.226927;0.1568166;-0.1973751;3.082232;
0.1346692;-0.1058608;2.672924;0.01735602;-0.3694046;3.226769;0.1561529;-0.1991684;3.081455;
0.134435;-0.1062901;2.672613;0.01708517;-0.3693464;3.226834;0.1570931;-0.1960014;3.081252;
0.1345927;-0.1064508;2.672384;0.01697586;-0.3688368;3.227022;0.1479043;-0.06630207;2.980914;
0.1345655;-0.1002264;2.664867;0.01702244;-0.3687364;3.226913;0.1487838;-0.06305616;2.980791;
0.1349906;-0.1000078;2.663795;0.0170528;-0.3687381;3.226725;0.1599387;-0.1918757;3.081188;
0.1352439;-0.101804;2.664115;0.01705001;-0.3687326;3.226723;0.1605841;-0.1917026;3.083218;
0.1352701;-0.1030357;2.664909;0.01686566;-0.3687557;3.226786;0.1492595;-0.06440625;2.980868;
0.1348982;-0.1038554;2.665121;0.0173081;-0.3686904;3.226543;0.1601609;-0.192149;3.083062;
0.1350099;-0.1053228;2.668994;0.01749646;-0.3688286;3.226362;0.1491645;-0.06573226;2.980085;
0.1353873;-0.1009712;2.662704;0.01743624;-0.3689416;3.226274;0.1587845;-0.1932428;3.08192;
0.135866;-0.1018196;2.664554;0.01885413;-0.3688215;3.225221;0.1495509;-0.06415553;2.978524;
0.1354535;-0.1007549;2.662891;0.01883829;-0.3687603;3.225239;0.1589942;-0.1941338;3.083164;
0.1349034;-0.102618;2.662982;0.01862039;-0.3686761;3.225415;0.1491425;-0.06407217;2.979215;
0.135073;-0.1007254;2.660908;0.01869312;-0.3686696;3.2254;0.1490232;-0.0624052;2.980413;
0.135001;-0.1003376;2.660837;0.01825642;-0.3687746;3.225733;0.1490002;-0.06217947;2.980425;
0.1357915;-0.1016168;2.66244;0.01878905;-0.3688889;3.225498;0.1491588;-0.06307922;2.979712;
0.1362732;-0.1038613;2.667391;0.01739179;-0.3688985;3.225952;0.14888;-0.06454461;2.979492;
0.139721;-0.1091166;2.682884;0.01703933;-0.3690307;3.226039;0.1583767;-0.2010253;3.076664;
0.1371929;-0.1052061;2.671689;0.01625936;-0.3686907;3.226475;0.149563;-0.1874791;3.082062;
0.1396831;-0.1053608;2.676447;0.01613729;-0.3687925;3.226424;0.1516547;-0.1879979;3.08141;
0.1406254;-0.1110229;2.690992;0.01664662;-0.3691539;3.22605;0.1477724;-0.06979403;2.979235;
0.1404047;-0.1107844;2.689949;0.01669206;-0.369762;3.225929;0.1474193;-0.06978595;2.97885;
0.139898;-0.1065503;2.681292;0.01634517;-0.3697826;3.225823;0.1471545;-0.06715298;2.978084;
0.1388961;-0.1086303;2.686472;0.01655165;-0.37012;3.225756;0.1551109;-0.2006052;3.076161;
0.1387009;-0.1087912;2.686854;0.01660655;-0.370191;3.225579;0.1462395;-0.06866019;2.977599;
0.1374215;-0.1063488;2.683464;0.01672382;-0.3700572;3.22567;0.1457588;-0.06717388;2.978147;
0.1355326;-0.1017198;2.676628;0.01664413;-0.370071;3.225655;0.1447484;-0.0645127;2.977854;
