HandRight.X;HandRight.Y;HandRight.Z;Head.X;Head.Y;Head.Z;
0.169964;0.3428835;3.781038;-0.1975849;0.1869104;3.825222;
0.170816;0.3377248;3.778483;-0.1990758;0.1861421;3.830243;
0.1704337;0.338;3.777791;-0.1960178;0.1890362;3.834278;
0.1713338;0.3355728;3.759649;-0.1973061;0.1883525;3.832728;
0.1715843;0.3459888;3.771846;-0.1991597;0.1872961;3.829135;
0.1708628;0.3434625;3.779614;-0.1955853;0.1884416;3.823959;
0.1705768;0.3423467;3.780235;-0.196134;0.189101;3.822836;
0.2071611;0.3035198;3.704043;-0.1973356;0.185867;3.820709;
0.1699495;0.3393398;3.775552;-0.1959392;0.1875619;3.818487;
0.1946568;0.3107402;3.720455;-0.1972839;0.1860851;3.81845;
0.2069401;0.3099417;3.748256;-0.1975138;0.1840791;3.814797;
0.1732291;0.3366365;3.773133;-0.195678;0.1844277;3.816799;
0.1723247;0.3355409;3.773211;-0.198659;0.1832886;3.819621;
0.1716871;0.3360842;3.772619;-0.195242;0.1876414;3.816154;
0.1717326;0.3350619;3.771557;-0.1958339;0.186978;3.815313;
0.1711328;0.334614;3.771314;-0.1969426;0.184174;3.814787;
0.1686672;0.3329804;3.768554;-0.1962812;0.1844898;3.816013;
0.1685836;0.3336092;3.7809;-0.1943499;0.1825556;3.827984;
0.168182;0.3326163;3.780568;-0.1943652;0.1825574;3.827977;
0.1608206;0.3336955;3.749963;-0.1956328;0.182793;3.819944;
0.1682473;0.3306295;3.780285;-0.1984242;0.1804575;3.817699;
0.16823;0.329976;3.777477;-0.200376;0.1771204;3.816141;
0.1674672;0.3298171;3.77854;-0.1994321;0.1795081;3.817768;
0.1687916;0.34319;3.769097;-0.1999218;0.1781873;3.818223;
0.1681827;0.341313;3.765857;-0.2007312;0.1792418;3.817006;
0.1668415;0.3386633;3.766013;-0.1971729;0.1829768;3.820604;
0.1677058;0.3337083;3.763234;-0.1985016;0.1789179;3.823344;
0.1617944;0.3184522;3.754983;-0.1990481;0.1788019;3.821571;
0.1697427;0.3244978;3.776953;-0.1986466;0.1831481;3.815514;
0.1789914;0.3227939;3.774436;-0.1976484;0.1848263;3.818721;
0.1758952;0.327099;3.763927;-0.197589;0.184387;3.816574;
0.1765038;0.3276364;3.764092;-0.1993026;0.1845947;3.816311;
0.1766489;0.3270912;3.76324;-0.2003118;0.1871444;3.819165;
0.1750255;0.3274337;3.77379;-0.2018561;0.1857828;3.822748;
0.1751311;0.3268064;3.772802;-0.200983;0.1863569;3.81983;
0.174743;0.3266471;3.771375;-0.2004815;0.1861488;3.819828;
0.1760192;0.326691;3.768235;-0.1997263;0.1874308;3.817802;
0.1757144;0.3254575;3.773817;-0.1993453;0.1881489;3.817517;
0.1759989;0.3247084;3.769995;-0.1979597;0.1888526;3.822175;
0.1763676;0.324671;3.76986;-0.1975035;0.188891;3.822244;
0.1762481;0.3247144;3.770236;-0.1971792;0.1891159;3.822468;
0.1795038;0.3127524;3.718305;-0.1976138;0.1888615;3.815834;
0.1873262;0.3090416;3.721588;-0.1951905;0.1900409;3.819386;
0.1866464;0.2455422;3.752934;-0.199784;0.1868364;3.817808;
0.1944046;0.3083724;3.738919;-0.1987531;0.186908;3.81578;
0.1767794;0.3146724;3.769661;-0.1980718;0.1884927;3.816325;
0.2005555;0.2993146;3.748948;-0.1957279;0.1868716;3.820572;
0.2130771;0.3017153;3.745363;-0.1952439;0.1874243;3.820254;
0.2282526;0.2762336;3.746925;-0.1944233;0.1878989;3.818413;
0.2094653;0.2949372;3.73676;-0.1947601;0.1875843;3.819708;
0.204332;0.2969594;3.747298;-0.194772;0.1876889;3.819689;
0.2033207;0.2989142;3.750986;-0.1959327;0.1866612;3.818217;
0.2017126;0.2994877;3.751995;-0.1957212;0.1867258;3.818584;
0.2012334;0.3002993;3.751863;-0.1947917;0.1877122;3.820953;
0.174884;0.1763383;3.720233;-0.192688;0.1872166;3.824213;
0.1757015;0.3269787;3.755737;-0.193142;0.1877003;3.823678;
0.177271;0.3248332;3.772842;-0.192966;0.18883;3.829529;
0.1764663;0.3230778;3.775046;-0.1932548;0.1872541;3.825914;
0.1771903;0.325862;3.772789;-0.1936269;0.1883621;3.824682;
0.184685;0.3261405;3.749217;-0.1926751;0.1893508;3.820046;
0.1771387;0.3238361;3.772804;-0.1923337;0.189283;3.819878;
0.1768884;0.3241572;3.771061;-0.1923118;0.1889512;3.819363;
0.1772305;0.3221076;3.771171;-0.1930396;0.1892567;3.820635;
0.1777688;0.321634;3.768085;-0.1949974;0.187296;3.817567;
0.1805803;0.3232593;3.7469;-0.1952015;0.1871841;3.817689;
0.1798526;0.3231691;3.761537;-0.1977051;0.1867608;3.818046;
0.1779556;0.3227302;3.764414;-0.1977354;0.1857693;3.819164;
0.1785957;0.324118;3.756084;-0.1967234;0.188302;3.815694;
0.1775139;0.3234067;3.754346;-0.1961953;0.186765;3.815655;
0.1767884;0.3214651;3.762372;-0.1956026;0.186017;3.816731;
0.1767891;0.3215922;3.763509;-0.1966347;0.1840198;3.819899;
0.1758881;0.2531739;3.724757;-0.194376;0.1860814;3.810772;
0.1750719;0.2493629;3.723217;-0.1947229;0.1860068;3.809379;
0.1747534;0.2490055;3.723261;-0.1952708;0.185454;3.812315;
0.1844952;0.3015375;3.722975;-0.1990822;0.1779266;3.808781;
0.1820389;0.3114562;3.720404;-0.1984811;0.1760027;3.814463;
0.1838653;0.3098385;3.724782;-0.1978744;0.1779866;3.818302;
0.2086072;0.2983184;3.73379;-0.196594;0.1769757;3.819504;
0.1944308;0.3008212;3.726657;-0.19359;0.1825455;3.811405;
0.1940546;0.3000787;3.726019;-0.1936577;0.1829889;3.81246;
0.1748271;0.1643667;3.707512;-0.1937175;0.1796273;3.811642;
0.1897771;0.3012652;3.716246;-0.1951469;0.180865;3.824075;
0.1713072;0.3201164;3.750949;-0.1973881;0.1788886;3.822356;
0.1760499;0.3215409;3.740476;-0.1964537;0.1788031;3.814313;
0.176697;0.3206778;3.74035;-0.1982208;0.1813628;3.818153;
0.1742899;0.3181126;3.756913;-0.1987373;0.1805334;3.81721;
0.1762797;0.3172219;3.749799;-0.1970903;0.1822487;3.819583;
0.1869429;0.3222359;3.715641;-0.1963173;0.1824341;3.819741;
0.1739771;0.3197742;3.762223;-0.1968084;0.1815446;3.818569;
0.1846434;0.2996939;3.736055;-0.1951111;0.1819232;3.818249;
0.1708613;0.2549493;3.706913;-0.1975961;0.1830463;3.815551;
0.1760849;0.3176648;3.767532;-0.1977173;0.1833226;3.814648;
0.1764648;0.317977;3.766959;-0.1967158;0.1847699;3.815708;
0.1752627;0.3165703;3.763224;-0.194683;0.1886381;3.823482;
0.1755721;0.3163818;3.76329;-0.1953679;0.1879536;3.823984;
0.1812413;0.3180999;3.752074;-0.1934687;0.1893927;3.82018;
0.1806591;0.3176511;3.750854;-0.193158;0.1890801;3.82068;
0.1888465;0.2966691;3.708462;-0.1936063;0.1889251;3.821573;
0.1894957;0.2962092;3.707547;-0.1953212;0.1893276;3.822963;
0.181201;0.3196278;3.762931;-0.1948512;0.1895297;3.822389;
0.1800839;0.3198737;3.76317;-0.1947443;0.189046;3.822817;
0.1881171;0.3119223;3.746784;-0.1948193;0.1889117;3.822647;
0.1812395;0.3123584;3.76875;-0.1956573;0.1878433;3.822357;
0.180828;0.3134251;3.7645;-0.1955713;0.1878171;3.822301;
0.1793933;0.3131737;3.768833;-0.1962951;0.188403;3.821984;
0.1826361;0.3128547;3.75455;-0.1951931;0.1874799;3.824355;
0.1786187;0.3145617;3.755223;-0.1930637;0.1875727;3.825503;
0.1800093;0.3123746;3.765979;-0.193329;0.1875698;3.825191;
0.1803254;0.3118898;3.764941;-0.1935979;0.187043;3.825126;
0.1829132;0.3160397;3.748396;-0.1936457;0.1873607;3.825036;
