HandRight.X;HandRight.Y;HandRight.Z;Head.X;Head.Y;Head.Z;
0.009367622;-0.4140161;2.433234;-0.1095666;0.3641821;2.818792;
0.05294958;-0.4525748;2.461938;-0.1098309;0.3648165;2.809907;
0.08643406;-0.4757234;2.514734;-0.1060331;0.3623134;2.792737;
0.1198076;-0.5144794;2.536278;-0.100837;0.3612434;2.783782;
0.1584981;-0.524246;2.555123;-0.1005114;0.3596838;2.778183;
0.1870556;-0.5266708;2.583979;-0.09614404;0.3583075;2.764043;
0.2221792;-0.529899;2.623883;-0.09057163;0.3577267;2.752578;
0.2427888;-0.5342987;2.645703;-0.07547235;0.3565575;2.736724;
0.2627788;-0.5302735;2.664285;-0.07054994;0.355514;2.729558;
0.2883221;-0.532202;2.684164;-0.05704005;0.3554745;2.711569;
0.3034456;-0.5381457;2.695526;-0.04766461;0.3537825;2.702794;
0.3223228;-0.5430307;2.702956;-0.0306791;0.3521894;2.687378;
0.3332893;-0.5447914;2.700641;-0.02613065;0.3537855;2.681;
0.3417898;-0.5467808;2.685535;-0.002795938;0.3578917;2.664557;
0.3481886;-0.5424791;2.652044;0.01427238;0.3604273;2.654068;
0.3478648;-0.53948;2.607873;0.03089343;0.3575194;2.642139;
0.3527457;-0.5519186;2.58063;0.04167254;0.3577101;2.633207;
0.3424746;-0.548782;2.513211;0.05475419;0.360155;2.624458;
0.3360271;-0.5470919;2.490725;0.06509295;0.3644665;2.618993;
0.3171805;-0.5510637;2.435003;0.07617572;0.3645445;2.615433;
0.2899442;-0.5305799;2.391718;0.08711803;0.3667126;2.608237;
0.279556;-0.5229789;2.360497;0.1011693;0.3726593;2.603878;
0.2637042;-0.5084983;2.318988;0.1085378;0.3731338;2.595359;
0.2350664;-0.4834791;2.274986;0.1160132;0.3751638;2.592756;
0.2116353;-0.447468;2.25313;0.1351151;0.3781152;2.585185;
0.2015627;-0.432964;2.244332;0.1415583;0.3782339;2.579145;
0.1792777;-0.4034251;2.22638;0.1485202;0.3789789;2.569082;
0.1522359;-0.3939066;2.211757;0.1586989;0.3821163;2.556347;
