HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;;Hand Rechts;X [m];Y [m];Z [m]
-0.03278322;-0.09784354;3.411636;-0.1524105;-0.4471766;3.665074;0.01398331;-0.3300303;3.581372;;;;;
-0.03359326;-0.1052278;3.408127;-0.1525954;-0.4406155;3.666966;0.01375583;-0.3295355;3.581367;;;;;
-0.02617374;-0.1416354;3.436468;-0.1526745;-0.4414586;3.666762;0.01367927;-0.329646;3.581589;;;;;
-0.02839551;-0.1424321;3.450434;-0.1527077;-0.4429637;3.666265;0.01406139;-0.3306316;3.58177;;;;;
-0.02517466;-0.1468471;3.447737;-0.1526703;-0.4429959;3.666016;0.02130667;-0.3337941;3.585275;;;;;
-0.02985226;-0.1431775;3.434214;-0.1530108;-0.4435414;3.665235;0.02178268;-0.3391086;3.587415;;;;;
-0.02711368;-0.1447349;3.439189;-0.1530794;-0.4444854;3.665147;0.02149795;-0.3396298;3.586643;;;;;
-0.02744339;-0.1430067;3.443268;-0.1530823;-0.4440769;3.66491;0.01780871;-0.348688;3.58996;;;;;
-0.02787194;-0.148851;3.433187;-0.153028;-0.444309;3.664818;0.01642614;-0.3379633;3.581251;;;;;
-0.02850055;-0.1487062;3.436072;-0.1531145;-0.4468538;3.663497;0.01767754;-0.3330996;3.57738;;;;;
-0.02920146;-0.1476073;3.436691;-0.1531021;-0.446871;3.66349;0.0249389;-0.3269702;3.574522;;;;;
-0.02834412;-0.1487675;3.430446;-0.1532155;-0.4475484;3.663343;0.02480522;-0.3269171;3.573963;;;;;
-0.03115257;-0.09642372;3.388581;-0.1531989;-0.4475234;3.663388;0.02271277;-0.3281458;3.574041;;;;;
-0.0330102;-0.09858769;3.387084;-0.153181;-0.4475309;3.663425;0.02111709;-0.3274634;3.578541;;;;;
-0.02504101;-0.1427041;3.444775;-0.1532041;-0.4475344;3.663449;0.01809321;-0.3285394;3.579525;;;;;
-0.02614357;-0.1452623;3.442815;-0.1531994;-0.4474406;3.663486;0.02042849;-0.3274985;3.574837;;;;;
-0.0322905;-0.09867703;3.383585;-0.1531593;-0.4474863;3.663546;0.01905387;-0.3275241;3.575222;;;;;
-0.02377732;-0.1555989;3.422026;-0.1530299;-0.448186;3.663406;0.01854753;-0.3284976;3.575437;;;;;
-0.02512692;-0.1539647;3.431973;-0.153016;-0.4481837;3.663401;0.0182006;-0.328936;3.575277;;;;;
-0.03466485;-0.09587212;3.413878;-0.1529658;-0.4481124;3.663605;0.02249293;-0.3280517;3.571801;;;;;
-0.02718662;-0.1372526;3.431447;-0.152784;-0.4479692;3.663356;0.02116868;-0.3268201;3.57481;;;;;
-0.02317651;-0.09916812;3.41116;-0.1527173;-0.4480307;3.663312;0.02104843;-0.3249871;3.578865;;;;;
-0.02570178;-0.139888;3.435926;-0.152803;-0.4478401;3.663166;0.01811894;-0.3354177;3.589543;;;;;
-0.03902939;-0.08609515;3.397181;-0.1528293;-0.4478178;3.663152;0.0176429;-0.3346286;3.588848;;;;;
-0.02779651;-0.1642218;3.428266;-0.1527534;-0.448377;3.66326;0.01770895;-0.336317;3.587011;;;;;
-0.02529729;-0.156243;3.433581;-0.1528298;-0.4485025;3.663105;0.01910451;-0.3393281;3.58703;;;;;
-0.01986849;-0.06467165;3.344527;-0.152766;-0.4486487;3.663145;0.01931934;-0.3322898;3.585141;;;;;
-0.02078518;-0.06279329;3.344775;-0.1526688;-0.4486353;3.663178;0.02322069;-0.3288775;3.592752;;;;;
-0.02459027;-0.1359516;3.449062;-0.152412;-0.4486272;3.663285;0.02151333;-0.3278147;3.590419;;;;;
-0.02082115;-0.1005091;3.411252;-0.1518723;-0.4519601;3.662669;0.02051369;-0.3293292;3.588377;;;;;
-0.0284571;-0.1491753;3.440481;-0.1516827;-0.4517536;3.662895;0.02105366;-0.331765;3.590887;;;;;
-0.02722267;-0.107882;3.404389;-0.1514099;-0.4518787;3.662977;0.01995929;-0.3431381;3.594365;;;;;
-0.02634794;-0.111195;3.409308;-0.1515204;-0.451453;3.66296;0.02121619;-0.3439532;3.595538;;;;;
-0.02504315;-0.1396225;3.428345;-0.1515561;-0.4513578;3.663042;0.022309;-0.3425774;3.592284;;;;;
-0.02312982;-0.1388322;3.441239;-0.1514545;-0.4532279;3.66283;0.01857567;-0.3350535;3.589455;;;;;
-0.02472007;-0.1434555;3.438546;-0.1513904;-0.4531585;3.662572;0.01960016;-0.3171062;3.573851;;;;;
-0.0252679;-0.1431616;3.439828;-0.1515909;-0.4528083;3.66271;0.01916075;-0.3195488;3.576019;;;;;
-0.02481242;-0.1431456;3.442259;-0.1515314;-0.4528451;3.662744;0.0194172;-0.3252963;3.578556;;;;;
-0.03543272;-0.09529042;3.411997;-0.1516125;-0.4523833;3.663324;0.02107761;-0.325092;3.581139;;;;;
-0.0325655;-0.09900576;3.417648;-0.1514606;-0.4519413;3.663705;0.02173993;-0.3340578;3.580904;;;;;
-0.03258049;-0.1026313;3.415418;-0.1513811;-0.4522659;3.663264;0.0214825;-0.3326754;3.588359;;;;;
-0.02527168;-0.07865371;3.368068;-0.15147;-0.4517591;3.66317;0.0280026;-0.3178394;3.571082;;;;;
-0.03463875;-0.09661391;3.403875;-0.1514881;-0.4512919;3.663471;0.02446022;-0.3294276;3.576304;;;;;
-0.02996585;-0.1462691;3.438111;-0.1515291;-0.451262;3.663523;0.02271362;-0.336911;3.591744;;;;;
-0.03008439;-0.1464399;3.439732;-0.1515542;-0.4510394;3.663767;0.02183075;-0.3398992;3.591667;;;;;
-0.02956841;-0.1470065;3.440523;-0.1515776;-0.4509323;3.663749;0.02701481;-0.3289301;3.594755;;;;;
-0.0347054;-0.09687209;3.417652;-0.151349;-0.4506938;3.663487;0.02592127;-0.3247674;3.59306;;;;;
-0.03592211;-0.100681;3.40664;-0.1515689;-0.4505194;3.663633;0.02635478;-0.3252183;3.592479;;;;;
-0.02499691;-0.1561655;3.426213;-0.1514159;-0.4525036;3.662291;0.02433159;-0.324344;3.592208;;;;;
-0.02503142;-0.1560722;3.426407;-0.1513688;-0.4518977;3.662547;0.03222125;-0.3248139;3.588822;;;;;
-0.03433312;-0.1033384;3.397233;-0.1513967;-0.4520057;3.66254;0.03065709;-0.3084867;3.609102;;;;;
-0.0284751;-0.1512098;3.439239;-0.1514032;-0.4518949;3.662675;0.02510316;-0.3391929;3.591111;;;;;
-0.04205296;-0.09612435;3.394544;-0.1513001;-0.4514312;3.662969;0.02744172;-0.3389273;3.587805;;;;;
-0.02941203;-0.1414074;3.444781;-0.1512555;-0.4514485;3.662837;0.0268473;-0.3398362;3.590174;;;;;
-0.02876649;-0.1434636;3.443142;-0.1516837;-0.4512419;3.662483;0.02408927;-0.3362114;3.583158;;;;;
-0.02810024;-0.1462764;3.436707;-0.1518003;-0.4521672;3.662914;0.02870918;-0.3333467;3.579546;;;;;
-0.028165;-0.1463528;3.436886;-0.1517013;-0.4520867;3.663338;0.02404328;-0.3430616;3.583188;;;;;
-0.02751611;-0.1464864;3.438849;-0.1516934;-0.452096;3.663332;0.02632695;-0.3401986;3.587301;;;;;
-0.02740588;-0.1470465;3.438577;-0.1513977;-0.4504278;3.663778;0.02467799;-0.3336535;3.587184;;;;;
-0.02800234;-0.1113792;3.401708;-0.1501191;-0.4459212;3.664786;0.02213853;-0.3370418;3.58429;;;;;
-0.02867801;-0.1080012;3.399093;-0.1502238;-0.4460207;3.664765;0.02142209;-0.3362208;3.58393;;;;;
-0.02847959;-0.106596;3.399755;-0.1501897;-0.4457351;3.665198;0.02140613;-0.3374216;3.584175;;;;;
-0.0279812;-0.106407;3.400594;-0.1503569;-0.4516299;3.66369;0.01833878;-0.3374375;3.587252;;;;;
-0.02661306;-0.1428009;3.424608;-0.1505266;-0.4519058;3.663535;0.02931697;-0.3271087;3.576844;;;;;
-0.0260852;-0.1460956;3.432325;-0.150541;-0.4520302;3.663572;0.02549816;-0.3289804;3.587027;;;;;
-0.02675924;-0.1459918;3.433798;-0.1504536;-0.4522925;3.663492;0.01833347;-0.3289383;3.58284;;;;;
-0.02645334;-0.1451353;3.436848;-0.1502976;-0.4528074;3.663515;0.02415567;-0.3362522;3.592805;;;;;
-0.02148191;-0.1014977;3.395087;-0.1502818;-0.4528177;3.66357;0.02083927;-0.3260752;3.593598;;;;;
-0.02244546;-0.1058164;3.395996;-0.1504782;-0.4524836;3.66396;0.01838077;-0.326248;3.588752;;;;;
