HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;;Hand Rechts;X [m];Y [m];Z [m]
0.1114548;-0.4229011;3.539675;-0.05898449;-0.4174507;3.643391;0.1628991;-0.3050094;3.806931;;;;;
0.1011014;-0.4151849;3.56496;-0.05902421;-0.4175555;3.643456;0.1695123;-0.2899946;3.824582;;;;;
0.1010791;-0.4145941;3.565451;-0.05907157;-0.4175382;3.643514;0.1691896;-0.2893516;3.82512;;;;;
0.09304322;-0.436317;3.568601;-0.05925034;-0.4177883;3.643608;0.1614213;-0.3104168;3.831064;;;;;
0.09178116;-0.4259108;3.567861;-0.05941922;-0.4187205;3.643456;0.1602066;-0.2998579;3.831136;;;;;
0.09320515;-0.4060698;3.572282;-0.05953673;-0.4189412;3.64384;0.1634486;-0.294677;3.838011;;;;;
0.08718556;-0.4278436;3.548061;-0.05975347;-0.4184201;3.644068;0.1584575;-0.3121087;3.811553;;;;;
0.06146213;-0.4904092;3.602903;-0.05973076;-0.4185656;3.644066;0.1579471;-0.3083528;3.812551;;;;;
0.04964058;-0.5013018;3.577519;-0.06054756;-0.4176516;3.644444;0.1586962;-0.3064095;3.812664;;;;;
0.04894256;-0.5024342;3.576451;-0.06061555;-0.4179209;3.644641;0.1595676;-0.3048241;3.813488;;;;;
0.04870998;-0.5170408;3.564809;-0.06082512;-0.4181737;3.644769;0.1616686;-0.3089224;3.810156;;;;;
0.04675093;-0.5181201;3.579621;-0.06097038;-0.4182023;3.644756;0.1625946;-0.3088196;3.826649;;;;;
0.04847889;-0.5216212;3.575425;-0.06084385;-0.4180874;3.644826;0.1651478;-0.3120772;3.822303;;;;;
0.04843281;-0.521597;3.575351;-0.05996346;-0.4165697;3.646073;0.1651627;-0.3120183;3.822222;;;;;
0.1134958;-0.4032161;3.556911;-0.05986858;-0.4153346;3.646104;0.1671139;-0.2924118;3.827101;;;;;
0.1069224;-0.4134058;3.557004;-0.05913298;-0.4131255;3.646511;0.1707987;-0.2828252;3.832324;;;;;
0.08443269;-0.4478981;3.513323;-0.05892577;-0.4130235;3.646575;0.1662255;-0.2873082;3.813357;;;;;
0.08758453;-0.4494928;3.516315;-0.05896889;-0.4129629;3.646489;0.1471355;-0.3095351;3.770529;;;;;
0.08296518;-0.4521737;3.510421;-0.05916825;-0.4131104;3.646427;0.170833;-0.2792477;3.827885;;;;;
0.08670974;-0.4670755;3.515381;-0.05903349;-0.4139111;3.646185;0.1737882;-0.2909253;3.831016;;;;;
0.08186446;-0.4432025;3.510695;-0.05961896;-0.4145391;3.645941;0.1715452;-0.2726283;3.828653;;;;;
0.08257832;-0.4453209;3.512236;-0.05950102;-0.4149978;3.645805;0.1713869;-0.2729492;3.829154;;;;;
0.08404344;-0.4555725;3.504542;-0.05886542;-0.4141316;3.646619;0.1712336;-0.2798317;3.819539;;;;;
0.09633855;-0.4127536;3.566893;-0.05913146;-0.4141186;3.646573;0.1750522;-0.2907351;3.825252;;;;;
0.0946321;-0.4023633;3.565866;-0.05878088;-0.4160202;3.645538;0.1755831;-0.2882032;3.827266;;;;;
0.09685665;-0.4043836;3.567238;-0.05911696;-0.4164535;3.645555;0.1738824;-0.2845858;3.827208;;;;;
0.09889674;-0.4507082;3.540419;-0.058977;-0.4167674;3.645494;0.1695163;-0.3093006;3.806242;;;;;
0.1144106;-0.4495085;3.520613;-0.05871379;-0.4167621;3.645738;0.1538875;-0.3084763;3.778213;;;;;
0.1361855;-0.4761951;3.562742;-0.05869783;-0.4159786;3.64594;0.1653108;-0.2988148;3.796909;;;;;
0.1350797;-0.4860377;3.573073;-0.05849381;-0.4157406;3.646176;0.1646602;-0.302889;3.802396;;;;;
0.06870216;-0.330456;3.584834;-0.05864197;-0.4163163;3.64583;0.1672457;-0.3079117;3.805892;;;;;
