HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;
0.07914311;-0.5657763;3.313636;-0.1082711;-0.4079374;3.502403;0.07932043;-0.367075;3.517092;
0.07848984;-0.5666167;3.312295;-0.1083158;-0.4079244;3.502405;0.0793069;-0.3670034;3.515606;
0.07559975;-0.5701689;3.319813;-0.1084024;-0.4078704;3.502361;0.0792909;-0.3670816;3.515687;
0.0835924;-0.5617103;3.303055;-0.1083483;-0.407975;3.502337;0.07942938;-0.3666825;3.515882;
0.0818055;-0.5617269;3.306437;-0.108431;-0.4079153;3.502339;0.07937567;-0.3663486;3.516232;
0.08102018;-0.5765854;3.27805;-0.1084273;-0.4080143;3.502404;0.07963111;-0.3667724;3.51651;
0.08445573;-0.5724278;3.279244;-0.1084407;-0.4075622;3.502811;0.07957373;-0.3668146;3.516399;
0.08778514;-0.5674654;3.278918;-0.1084308;-0.4075722;3.502813;0.0798329;-0.3703099;3.516527;
0.08291823;-0.5657356;3.294814;-0.1084491;-0.4074376;3.502707;0.08025821;-0.37064;3.515049;
0.08171473;-0.5657213;3.295128;-0.108437;-0.4074549;3.502684;0.08036568;-0.3703134;3.514908;
0.07553317;-0.5761489;3.306489;-0.1086165;-0.4073826;3.502698;0.08052748;-0.3700486;3.515027;
0.07833164;-0.6163598;3.272445;-0.1087227;-0.4074484;3.502571;0.08043869;-0.3699987;3.51484;
0.07704871;-0.6150333;3.271625;-0.1086194;-0.4074044;3.502661;0.08036374;-0.3695865;3.515329;
0.07345824;-0.5884007;3.285521;-0.1088229;-0.4076004;3.502746;0.08012499;-0.3721258;3.514931;
0.07727669;-0.6174496;3.274795;-0.1088386;-0.4075691;3.502728;0.0796385;-0.3702735;3.514541;
0.07786311;-0.5888534;3.277779;-0.1090089;-0.4063278;3.502481;0.07880857;-0.3694316;3.514757;
0.07943564;-0.5836638;3.278052;-0.1092265;-0.4063251;3.502371;0.07860198;-0.3693018;3.514817;
0.07665903;-0.5715474;3.302561;-0.1094785;-0.4061561;3.502457;0.07862889;-0.3692943;3.514748;
0.07620872;-0.5847394;3.280919;-0.1096832;-0.4061917;3.502373;0.07856413;-0.3695836;3.514626;
0.07599463;-0.5788546;3.30421;-0.1099026;-0.4065427;3.502437;0.07893554;-0.3696488;3.51478;
0.08069518;-0.6175948;3.275059;-0.1098686;-0.4064735;3.502476;0.0788234;-0.3695883;3.514666;
0.08237886;-0.6179493;3.274259;-0.1098989;-0.4065204;3.502465;0.07840822;-0.3699556;3.51372;
0.08225487;-0.6194578;3.272014;-0.1098224;-0.4067639;3.50258;0.0790916;-0.3731889;3.51368;
0.08258533;-0.618066;3.270839;-0.1097564;-0.4067672;3.502598;0.07903482;-0.3731925;3.513785;
0.08201118;-0.620739;3.272932;-0.109865;-0.4066648;3.502602;0.07902583;-0.3733734;3.513594;
0.08147741;-0.6217499;3.274252;-0.1104759;-0.4077924;3.502499;0.07906827;-0.3734351;3.51403;
0.07872274;-0.6209379;3.274627;-0.1104743;-0.4072616;3.502798;0.07895778;-0.3730324;3.514353;
0.07963184;-0.619291;3.273211;-0.1106695;-0.4071171;3.502714;0.07912559;-0.3727984;3.514538;
0.07440715;-0.5740389;3.310083;-0.1107492;-0.4070022;3.502805;0.07904596;-0.372426;3.514191;
0.07628576;-0.5942931;3.288667;-0.1107908;-0.4069247;3.502686;0.078844;-0.3715461;3.514897;
0.07628705;-0.5940812;3.289334;-0.1107577;-0.4067365;3.502604;0.07900137;-0.3713244;3.515268;
0.07640795;-0.5696079;3.314679;-0.1107095;-0.4067506;3.502609;0.07904228;-0.3709798;3.515157;
0.08102695;-0.6107628;3.267995;-0.1107244;-0.4071878;3.502676;0.07910584;-0.3700504;3.514307;
0.08110266;-0.5858055;3.28514;-0.110691;-0.4071545;3.50269;0.07900745;-0.3699735;3.514266;
0.08102576;-0.5860429;3.283744;-0.1106976;-0.407156;3.502727;0.07872169;-0.3725638;3.514018;
0.07509486;-0.5925024;3.285928;-0.1107722;-0.4073659;3.502977;0.07865173;-0.3730767;3.513251;
0.07442714;-0.5933751;3.287218;-0.111055;-0.4072343;3.503154;0.07854272;-0.3730323;3.513855;
0.07297158;-0.5736606;3.309618;-0.1110255;-0.4069712;3.503161;0.0782132;-0.3707483;3.514693;
0.0754839;-0.5914265;3.287084;-0.1111146;-0.407403;3.503387;0.07780629;-0.3702437;3.513473;
0.07670639;-0.5912795;3.286748;-0.1111171;-0.407552;3.503423;0.07777998;-0.3705258;3.513359;
0.07904574;-0.5819321;3.282894;-0.1110912;-0.4074914;3.503416;0.07824422;-0.3696609;3.51392;
0.07688685;-0.5728242;3.302765;-0.1110453;-0.4074742;3.503417;0.07825419;-0.3695971;3.513898;
0.07859838;-0.5830228;3.2921;-0.1110399;-0.4075002;3.503421;0.07878185;-0.369661;3.513456;
0.07861059;-0.5842048;3.290217;-0.1111688;-0.4066705;3.503487;0.07837768;-0.3702788;3.512612;
0.07702488;-0.5733154;3.307466;-0.1112055;-0.4066232;3.503421;0.07858317;-0.3702499;3.512094;
0.07629861;-0.5894263;3.288323;-0.1112013;-0.40662;3.503405;0.0790966;-0.3682541;3.514284;
0.0775587;-0.5872682;3.286999;-0.1111615;-0.4054849;3.502985;0.07873408;-0.369608;3.514823;
0.0775071;-0.5870533;3.287194;-0.1110394;-0.4055245;3.502959;0.0787917;-0.3691579;3.51502;
0.07528955;-0.5944952;3.29073;-0.111157;-0.4046102;3.502979;0.07833301;-0.3689553;3.514297;
0.07482095;-0.5715068;3.309613;-0.1110089;-0.40434;3.502719;0.07800981;-0.3704555;3.514056;
0.08847086;-0.6012182;3.256597;-0.1107684;-0.4045288;3.50266;0.0779396;-0.3702787;3.514208;
