HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;
0.3764617;-0.2553316;3.483946;0.07378652;-0.3174127;3.532635;-0.1786584;-0.4188633;3.434406;
0.375369;-0.257395;3.48276;0.07212181;-0.3177225;3.532217;-0.1782893;-0.4185475;3.434761;
0.374322;-0.2571735;3.482499;0.07139923;-0.3179712;3.530875;-0.1777433;-0.4188816;3.435243;
0.3745244;-0.2578728;3.482427;0.07130244;-0.3180737;3.530354;-0.1776378;-0.4188927;3.435541;
0.3806883;-0.2559578;3.480487;0.07752571;-0.3207565;3.528192;-0.1777065;-0.4189666;3.435599;
0.3858182;-0.2567521;3.479938;0.08175807;-0.3224636;3.523768;-0.1779654;-0.4188147;3.43607;
0.3905973;-0.2645845;3.465797;0.08410582;-0.3228175;3.519153;-0.1781774;-0.4189213;3.437153;
0.3847294;-0.2713982;3.436974;0.08583396;-0.3228674;3.51308;-0.1785342;-0.419261;3.438286;
0.3647237;-0.2645158;3.432696;0.0887562;-0.3239641;3.505424;-0.1794978;-0.4187986;3.439326;
0.3603585;-0.2977705;3.367146;0.07198288;-0.3199616;3.494469;-0.180687;-0.4188622;3.440856;
0.3429997;-0.3032172;3.358426;0.0791635;-0.328875;3.454381;-0.1810993;-0.4190051;3.441865;
0.3258872;-0.3194189;3.277954;0.07315344;-0.3285209;3.451568;-0.1816712;-0.419207;3.442878;
0.1975056;-0.3504548;3.257381;0.06141881;-0.32342;3.44807;-0.1819893;-0.420072;3.444666;
0.1478079;-0.352095;3.180459;0.0187245;-0.3131901;3.443771;-0.1824381;-0.4207314;3.445396;
0.05516837;-0.3507382;3.195;-0.01091458;-0.3292874;3.488421;-0.1827512;-0.4211277;3.446616;
0.004166128;-0.351363;3.210478;0.02299596;-0.2978376;3.413446;-0.1834459;-0.421862;3.447673;
-0.1170462;-0.3382729;3.154961;0.03886434;-0.3173697;3.384462;-0.1831685;-0.422;3.448588;
-0.2115485;-0.3381196;3.180373;0.02774844;-0.310265;3.384184;-0.1830198;-0.4218789;3.450024;
-0.2758033;-0.3143935;3.218775;0.03197261;-0.3030694;3.378172;-0.1828104;-0.421797;3.45098;
-0.3678873;-0.295725;3.237817;-0.0299032;-0.3068773;3.352575;-0.1826641;-0.4213333;3.451432;
-0.3335626;-0.279484;3.218037;-0.03789842;-0.3075722;3.345156;-0.1829756;-0.4203516;3.45165;
-0.3051395;-0.2295651;3.2703;-0.04702154;-0.3016683;3.343038;-0.1831706;-0.4199838;3.451797;
-0.3597838;-0.2200335;3.286233;-0.06078438;-0.3062086;3.328674;-0.1830769;-0.4192706;3.452157;
-0.3684312;-0.2092696;3.284659;-0.06721944;-0.306248;3.324955;-0.1832911;-0.4192905;3.452102;
-0.3656257;-0.1964851;3.279119;-0.06700092;-0.3055909;3.324618;-0.1833246;-0.419214;3.451993;
-0.3748211;-0.1896744;3.278574;-0.07239422;-0.3110156;3.32571;-0.1832809;-0.4187998;3.451832;
-0.3764367;-0.189431;3.276134;-0.08053397;-0.3032499;3.316859;-0.1841028;-0.4180474;3.451545;
-0.3813147;-0.1879304;3.270722;-0.07885412;-0.2984567;3.314674;-0.1842752;-0.4180188;3.451095;
-0.3382739;-0.2118437;3.254221;-0.07658753;-0.2980481;3.314;-0.184786;-0.4176553;3.450398;
-0.3692819;-0.1959496;3.271788;-0.07187726;-0.2984297;3.316344;-0.1852064;-0.41757;3.449756;
-0.3758882;-0.2126413;3.264906;-0.07187149;-0.2988947;3.316187;-0.1849074;-0.4175577;3.449264;
-0.3802057;-0.2244624;3.266117;-0.07286073;-0.302547;3.314516;-0.1857347;-0.4172648;3.44809;
-0.3846287;-0.2409687;3.272283;-0.0735549;-0.3066437;3.313854;-0.1855176;-0.4173039;3.447499;
-0.3820783;-0.2467436;3.276736;-0.07138709;-0.3139491;3.314254;-0.1853404;-0.4174818;3.447021;
-0.3844447;-0.2488247;3.295648;-0.05310108;-0.3038801;3.33944;-0.1847175;-0.4178118;3.445581;
-0.3837504;-0.2543602;3.288796;-0.05193438;-0.3040537;3.342052;-0.183735;-0.4182786;3.444352;
-0.3816003;-0.2586387;3.286964;-0.05235333;-0.3049056;3.34525;-0.1822316;-0.4195548;3.4433;
-0.3779571;-0.2696077;3.284246;-0.0518648;-0.3061494;3.34747;-0.1812776;-0.4190299;3.442563;
-0.3736201;-0.2740811;3.279811;-0.0517544;-0.3064516;3.347721;-0.1785611;-0.4196997;3.441675;
-0.3737382;-0.2843975;3.266465;-0.04857821;-0.3071202;3.350962;-0.177883;-0.4197564;3.441346;
-0.383465;-0.2916721;3.253168;-0.04283331;-0.3083633;3.355227;-0.1767831;-0.4205703;3.440763;
-0.3299873;-0.3321048;3.213725;-0.03858576;-0.3208225;3.349586;-0.1755373;-0.4211213;3.439785;
-0.2981316;-0.3519322;3.212313;-0.01891847;-0.3207867;3.373615;-0.1755215;-0.4211142;3.438996;
-0.2382295;-0.3857507;3.179727;0.005622245;-0.314271;3.385705;-0.1754057;-0.4217395;3.438598;
-0.1736427;-0.4069251;3.178212;0.0432615;-0.332603;3.389883;-0.1752504;-0.422657;3.43881;
-0.08832925;-0.4045849;3.160808;0.05841917;-0.3268037;3.395171;-0.1747823;-0.4238453;3.439595;
0.01248064;-0.3833833;3.144946;0.02159718;-0.3242776;3.42285;-0.1747765;-0.4237997;3.439362;
0.07970864;-0.3776502;3.194417;0.01955349;-0.3262843;3.427931;-0.1743763;-0.4233424;3.439491;
