Hand.X;Hand.Y;Hand.Z;Ellbogen.X;Ellbogen.Y;Ellbogen.Z;Schulter.X;Schulter.Y;Schulter.Z
0.2614042;-0.1622778;3.310367;0.1967624;-0.1908469;3.571831;0.1878228;0.02732486;3.662537
0.2613514;-0.1625227;3.309978;0.1961849;-0.1921901;3.571304;0.1878145;0.02709475;3.662699
0.26879;-0.1587527;3.28281;0.1945168;-0.1943408;3.569725;0.1884006;0.02716774;3.663476
0.261757;-0.1625891;3.309768;0.197945;-0.1942535;3.562846;0.1891322;0.0277034;3.663596
0.2616665;-0.1628052;3.309725;0.1981154;-0.1953718;3.567396;0.1891367;0.02769247;3.663594
0.2615213;-0.1624653;3.309526;0.1971104;-0.1935831;3.56731;0.1897592;0.02794583;3.663602
0.2662511;-0.1607113;3.280738;0.2001183;-0.1928026;3.569826;0.1922832;0.03059401;3.667217
0.2615845;-0.1600057;3.300911;0.2035613;-0.197111;3.570808;0.1914508;0.02902075;3.664984
0.2606689;-0.1603161;3.299086;0.2051021;-0.1990558;3.570996;0.1920328;0.03006072;3.665344
0.2685312;-0.1661169;3.254308;0.2049985;-0.1935086;3.569239;0.1933366;0.0310379;3.666699
0.2647732;-0.1591345;3.304616;0.2034338;-0.1934342;3.57279;0.1903711;0.02919006;3.664864
0.2632937;-0.1592258;3.300973;0.1923026;-0.1990576;3.566006;0.1903042;0.0293854;3.664827
0.2617268;-0.1613786;3.301703;0.1927309;-0.1983597;3.563282;0.1912578;0.03020687;3.665626
0.2632361;-0.1600856;3.300844;0.1930056;-0.1982694;3.563261;0.1910829;0.03010566;3.665303
0.2631489;-0.159764;3.300632;0.1933326;-0.1974584;3.563466;0.1910706;0.03011999;3.665278
0.2694288;-0.1560594;3.279033;0.1934159;-0.1979043;3.563785;0.1907736;0.02971978;3.664885
0.2634319;-0.1600028;3.302153;0.193564;-0.197672;3.564353;0.19197;0.03089256;3.665262
0.2629439;-0.1610482;3.303285;0.1976392;-0.1996889;3.568791;0.1917935;0.03114345;3.665086
0.2632882;-0.1607325;3.302019;0.2114143;-0.2159033;3.581861;0.1922404;0.03119132;3.665423
0.2670495;-0.1592969;3.284616;0.2081491;-0.1874856;3.575113;0.1911578;0.03120983;3.665102
0.2627534;-0.1617176;3.302867;0.2128394;-0.1814917;3.579717;0.1911544;0.03123197;3.665129
0.2625931;-0.1615009;3.302804;0.2128903;-0.1813233;3.57991;0.1910722;0.03077151;3.664701
0.2610337;-0.1633;3.316492;0.2141733;-0.1890194;3.583862;0.1906689;0.03095837;3.663819
0.2658729;-0.1612647;3.288736;0.2077524;-0.189367;3.57907;0.1910328;0.03186645;3.664558
0.2601182;-0.1645614;3.309242;0.2024238;-0.1906852;3.572877;0.190193;0.03122917;3.663854
0.2673206;-0.1618481;3.280901;0.1941752;-0.1916351;3.56733;0.1898277;0.03093947;3.663467
0.2603852;-0.1650872;3.309457;0.1872348;-0.2177857;3.568448;0.1894607;0.0304561;3.663529
0.2611021;-0.1626538;3.311848;0.1826344;-0.2219827;3.56577;0.1890842;0.02985375;3.663466
0.2713823;-0.1556551;3.291229;0.1788548;-0.2250952;3.564206;0.1903254;0.03091067;3.665295
0.2613533;-0.163691;3.318122;0.1804172;-0.2178816;3.566593;0.1902263;0.03083788;3.665584
0.2619816;-0.1635593;3.305758;0.2102569;-0.1770432;3.584179;0.1898225;0.03182137;3.666805
0.2612138;-0.1642868;3.303408;0.2076727;-0.1772908;3.58406;0.1896942;0.03176191;3.666625
0.261042;-0.1642694;3.303359;0.2059249;-0.1936089;3.585976;0.1897669;0.0316784;3.666512
0.2613692;-0.1638476;3.303953;0.2058583;-0.19576;3.584605;0.189457;0.0317485;3.665711
0.2612273;-0.1643495;3.303394;0.1865557;-0.2085875;3.566564;0.1875011;0.03094464;3.664348
0.2609712;-0.1643262;3.29747;0.181185;-0.2119969;3.562212;0.1865543;0.03049134;3.663856
0.2659529;-0.1616019;3.282183;0.1805812;-0.2126211;3.561659;0.1865519;0.03039298;3.663754
0.2652743;-0.1627744;3.28405;0.1819195;-0.2100015;3.564848;0.1864884;0.03018133;3.663318
0.2616074;-0.1654109;3.294685;0.1798422;-0.2202736;3.566764;0.1864331;0.0300596;3.663222
0.2615784;-0.1674228;3.295486;0.181455;-0.2225037;3.568497;0.1888165;0.03050529;3.663887
0.2469915;-0.1836197;3.268047;0.1879397;-0.2019137;3.585665;0.1888351;0.03025613;3.664396
0.2610407;-0.1672472;3.293057;0.1869449;-0.2124303;3.581648;0.1888784;0.0301536;3.664309
0.2608879;-0.1669705;3.290683;0.2022178;-0.1977352;3.586231;0.1905062;0.03084093;3.664639
0.2609249;-0.1700093;3.277446;0.1911418;-0.1980512;3.571079;0.1908645;0.03075187;3.664738
0.2642621;-0.1731951;3.284729;0.1975169;-0.1786322;3.581074;0.1901728;0.03053633;3.66467
0.260236;-0.1682272;3.264839;0.1969737;-0.1786609;3.580064;0.1900152;0.03026252;3.664343
0.2598993;-0.1710343;3.275123;0.2045082;-0.1888793;3.580413;0.1894103;0.02963937;3.66329
